                Year                 Doy        Cinput(gC/s)      Foliage(gC/m2)        Woody(gC/m2)   Met_litter(gC/m2)   Str_litter(gC/m2)    Fast_soil(gC/m2)    Slow_soil(gC/m2)    Pass_soil(gC/m2)          I(gC/m2/s)  Residence time(yr)     Capacity(gC/m2)    Potential(gC/m2)
                  59                 365     0.224500000E-04     0.493839666E+03     0.686793583E+04     0.288273646E+02     0.969111577E+03     0.627323280E+02     0.707371454E+03     0.731097725E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.108130924E+05
                  60                 365     0.224500000E-04     0.493506301E+03     0.700985065E+04     0.288116491E+02     0.100595085E+04     0.643069245E+02     0.822794078E+03     0.730446552E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.105238727E+05
                  61                 365     0.224500000E-04     0.137615723E+03     0.926976970E+04     0.641772050E+01     0.168518243E+03     0.787402820E+01     0.131411027E+03     0.736976567E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.101634417E+05
                  62                 365     0.224500000E-04     0.307558321E+03     0.931954951E+04     0.169778900E+02     0.453656910E+03     0.277172520E+02     0.169779367E+03     0.736180983E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.959741101E+04
                  63                 365     0.224500000E-04     0.396902379E+03     0.936754321E+04     0.226610751E+02     0.684263673E+03     0.426742972E+02     0.244578048E+03     0.735414151E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.914144781E+04
                  64                 365     0.224500000E-04     0.443873303E+03     0.941381488E+04     0.256489482E+02     0.865449303E+03     0.526897774E+02     0.345250792E+03     0.734672217E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.876059369E+04
                  65                 365     0.224500000E-04     0.468567365E+03     0.945842632E+04     0.272197652E+02     0.100538604E+04     0.595851157E+02     0.463568092E+03     0.733952314E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.843164815E+04
                  66                 365     0.224500000E-04     0.481549794E+03     0.950143708E+04     0.280455920E+02     0.111240018E+04     0.645101254E+02     0.593608834E+03     0.733252733E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.813975870E+04
                  67                 365     0.224500000E-04     0.488375056E+03     0.954290460E+04     0.284797547E+02     0.119382995E+04     0.681565596E+02     0.731116774E+03     0.732572396E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.787518629E+04
                  68                 365     0.224500000E-04     0.491963307E+03     0.958288426E+04     0.287080073E+02     0.125570881E+04     0.709499043E+02     0.873026724E+03     0.731910547E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.763137651E+04
                  69                 365     0.224500000E-04     0.493849761E+03     0.962142944E+04     0.288280068E+02     0.130280750E+04     0.731592192E+02     0.101713070E+04     0.731266602E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.740381269E+04
                  70                 365     0.224500000E-04     0.493519145E+03     0.966057117E+04     0.288120434E+02     0.133513889E+04     0.747528098E+02     0.116273187E+04     0.730659038E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.718931682E+04
                  71                 365     0.224500000E-04     0.139646057E+03     0.104038830E+05     0.652760514E+01     0.193263968E+03     0.127768375E+02     0.154341216E+04     0.736922907E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.758596558E+04
                  72                 365     0.224500000E-04     0.308625730E+03     0.104129705E+05     0.170457821E+02     0.507062535E+03     0.350766787E+02     0.154555966E+04     0.736272434E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.706526189E+04
                  73                 365     0.224500000E-04     0.397463549E+03     0.104217320E+05     0.226967717E+02     0.757353317E+03     0.505318728E+02     0.158827855E+04     0.735648563E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.665952886E+04
                  74                 365     0.224500000E-04     0.444168328E+03     0.104301791E+05     0.256677150E+02     0.951727930E+03     0.608063575E+02     0.165958570E+04     0.735046862E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.633129275E+04
                  75                 365     0.224500000E-04     0.468722468E+03     0.104383231E+05     0.272296315E+02     0.110015418E+04     0.678358071E+02     0.175055207E+04     0.734464492E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.605631284E+04
                  76                 365     0.224500000E-04     0.481631336E+03     0.104461749E+05     0.280507791E+02     0.121226249E+04     0.728049391E+02     0.185476078E+04     0.733899789E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.581900467E+04
                  77                 365     0.224500000E-04     0.488417926E+03     0.104537450E+05     0.284824816E+02     0.129634057E+04     0.764298007E+02     0.196759505E+04     0.733351711E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.560909554E+04
                  78                 365     0.224500000E-04     0.491985845E+03     0.104610434E+05     0.287094410E+02     0.135911421E+04     0.791540706E+02     0.208572783E+04     0.732819536E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.541964458E+04
                  79                 365     0.224500000E-04     0.493861610E+03     0.104680800E+05     0.288287605E+02     0.140585933E+04     0.812603885E+02     0.220676153E+04     0.732302711E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.524585827E+04
